Date,Open,High,Low,Close,Volume,EMA20,EMA50,RSI,EMA12,EMA26,MACD,MACD_Signal,MACD_Hist,BB_Middle,BB_Std,BB_Upper,BB_Lower,Wavelet_Smooth
2022-01-02,185.0,187.5,177.75,183.65,6960,183.65,183.65,,183.65,183.65,0.0,0.0,0.0,,,,,
2022-05-25,102.35,105.45,102.35,105.45,130,176.20238095238096,180.58333333333334,0.0,171.61923076923077,177.8574074074074,-6.23817663817664,-1.247635327635328,-4.990541310541312,,,,,
2022-05-26,106.55,106.55,106.55,106.55,30,169.56882086167803,177.68006535947714,0.10808686253317035,161.6085798816568,172.57537722908094,-10.966797347424148,-3.191467731593092,-7.775329615831056,,,,,
2022-05-30,107.65,112.2,107.65,112.2,80,164.1051236367563,175.1122196591055,0.7017702040693763,154.00725989986344,168.10312706396383,-14.095867164100383,-5.372347618094551,-8.723519546005832,,,,,101.27554770318021
2022-05-31,112.2,113.4,112.2,113.4,30,159.2760642427795,172.6921326136504,0.8365713388604661,147.75998914603832,164.05104357774428,-16.29105443170596,-7.556088980816833,-8.734965450889126,,,,,112.33056537102475
2022-06-01,112.2,119.7,112.2,119.7,60,155.5069152672767,170.61400976605626,1.5918843129863092,143.4430677389555,160.76578109050396,-17.322713351548458,-9.509413854963158,-7.8132994965853,,,,,115.9849823321555
2022-06-02,118.4,126.65,118.4,126.65,80,152.75863762277416,168.8899309517011,2.4744010990808505,140.85951885603927,158.23868619491108,-17.37916733887181,-11.08336455174489,-6.29580278712692,,,,,121.75876325088338
2022-06-03,126.65,134.3,126.65,134.3,70,151.00067213489092,167.53346307124227,3.50024103281433,139.85036210895632,156.46545018047323,-16.615088071516908,-12.189709255699293,-4.425378815817615,,,,,129.3690106007067
2022-06-06,135.95,142.7,135.95,142.7,100,150.21013193156796,166.55960177433082,4.6857944909962725,140.28876793834766,155.44578720414188,-15.157019265794219,-12.78317125771828,-2.3738480080759388,,,,,137.28727915194344
2022-06-07,144.55,151.95,144.55,151.95,120,150.375833652371,165.98667621455314,6.054524881827305,142.08280364014033,155.18684000383507,-13.104036363694746,-12.847344278913573,-0.25669208478117334,,,,,145.99088339222612
2022-06-08,153.95,162.1,153.95,162.1,100,151.49242092357375,165.83425753947262,7.622131925644325,145.16237231088797,155.69892592947693,-10.536553618588954,-12.38518614684865,1.8486325282596958,,,,,155.5593992932862
2022-06-09,164.0,173.3,164.0,173.3,150,153.56933321656675,166.12703175361094,9.418265517675522,149.4912381092129,157.00270919396013,-7.511471084747228,-11.410443134428366,3.898972049681138,,,,,166.08487632508835
2022-06-10,175.75,185.6,175.75,185.6,400,156.61987291022706,166.8906775671948,11.454413742139295,155.04643224625707,159.12102703144456,-4.074594785187486,-9.94327346458019,5.868678679392705,,,,,177.67190812720847
2022-06-13,188.3,199.15,188.3,199.15,2160,160.67036120449114,168.15574903514798,13.754396550954482,161.83159651606368,162.08613614022644,-0.25453962416276,-8.005526696496705,7.750987072333945,,,,,190.42045936395755
2022-06-14,202.1,214.05,185.0,187.0,48906,163.17794585168247,168.89473926906376,13.417837052575663,165.70365859051543,163.9316075372467,1.77205105326874,-6.050011146543616,7.822062199812356,,,,,195.21431095406356
2022-06-15,187.0,187.0,173.3,175.0,34219,164.30385577056984,169.13416125851225,13.0774805557906,167.13386496120538,164.7514884604136,2.3823765007917643,-4.36353361707654,6.745910117868305,,,,,184.95491166077736
2022-06-16,172.5,187.15,165.0,179.95,10055,165.7939647448013,169.55831179739414,14.046039509215234,169.10557804409683,165.87730413001262,3.2282739140842125,-2.84517211084439,6.073446024928602,,,,,176.38763250883392
2022-06-17,182.5,187.5,172.55,182.5,8537,167.38501572148687,170.06582898181006,14.574123331916851,171.16625834500502,167.10861493519687,4.057643409808151,-1.4646090067138817,5.522252416522033,,,,,179.3940989399293
2022-06-19,185.0,185.0,171.5,171.65,8433,167.79120470039288,170.12795333546455,14.175065099721365,171.2406801380812,167.445013828886,3.795666309195184,-0.41255394353206853,4.208220252727252,,,,,179.07650176678447
2022-06-20,171.65,174.05,163.0,164.55,11693,167.4825185384507,169.90921006740712,13.906721109660396,170.21134473222256,167.23056836007964,2.9807763721429126,0.2661121196029277,2.714664252539985,153.8675,30.9848276750514,215.83715535010282,91.89784464989721,170.1873851590106
2022-06-21,162.5,172.5,162.5,166.25,6532,167.36513582050304,169.76571163339116,14.324933137538352,169.6019070811114,167.1579336667404,2.443973414370987,0.7016843785565396,1.7422890358144474,152.9975,30.34219085782421,213.68188171564842,92.31311828435159,164.6178091872792
2022-06-22,168.55,168.55,159.75,162.25,7003,166.8779800280742,169.47097784384644,14.150751436899853,168.47084445324808,166.7943830247596,1.6764614284884658,0.8966397885429249,0.7798216399455409,155.8375,28.243168130587456,212.3238362611749,99.3511637388251,164.12321554770318
2022-06-23,164.45,164.45,151.75,154.5,12774,165.69912478730524,168.88388067349953,13.800617004987728,166.321483768133,165.88368798588854,0.43779578224445004,0.80487098728323,-0.36707520503878,158.23499999999999,25.76556810939746,209.7661362187949,106.70386378120506,160.02812720848056
2022-06-24,152.5,162.2,150.6,156.5,3625,164.82301766470474,168.3982382941466,14.389319995148256,164.8104862653433,165.18859998693384,-0.3781137215905517,0.5682740455084737,-0.9463877670990254,160.45,23.3948824813417,207.23976496268338,113.6602350373166,155.33833922261485
2022-06-26,158.6,167.0,158.6,165.0,7365,164.83987312520907,168.26497404731734,16.984253163551173,164.83964222452124,165.17462961753134,-0.3349873930100955,0.3876217578047599,-0.7226091508148553,163.03,20.612926450218183,204.25585290043637,121.80414709956364,158.56060070671379
2022-06-27,167.3,172.0,162.0,162.0,14086,164.5694090180463,168.01928879055978,16.790808456907257,164.4027741899795,164.93947186808458,-0.536697678105071,0.20275787062279374,-0.7394555487278647,165.145,17.92832146427308,201.00164292854618,129.28835707145385,163.5876325088339
